,lemma,form,tags,family,language
67,gijima,ngiyagijima,V;SG;1;PRS,3,9
68,mamatheka,ngizomamatheka,V;SG;1;FUT+IMMED,3,9
69,funda,ngiyofunda,V;SG;1;FUT,3,9
70,buza,ngiyobuza,V;SG;1;FUT,3,9
71,buyela,ngibuyela,V;SG;1;PRS,3,9
72,qeda,ngizoqeda,V;SG;1;FUT+IMMED,3,9
73,thinta,ngithinte,V;SG;1;PST+RCT,3,9
74,hlangana,ngihlangane,V;SG;1;PST+RCT,3,9
75,thola,ngiyothola,V;SG;1;FUT,3,9
76,lala,ngizolala,V;SG;1;FUT+IMMED,3,9
77,mamatheka,ngimamatheke,V;SG;1;PST+RCT,3,9
78,phuza,ngiphuza,V;SG;1;PRS,3,9
79,thatha,ngithathe,V;SG;1;PST+RCT,3,9
80,phuma,ngiphuma,V;SG;1;PRS,3,9
81,bulala,ngizobulala,V;SG;1;FUT+IMMED,3,9
82,wa,ngawa,V;SG;1;PST+RMT,3,9
83,phuka,ngiyokwephuka,V;SG;1;FUT,3,9
84,qala,ngiqala,V;SG;1;PRS,3,9
85,vuma,ngiyovuma,V;SG;1;FUT,3,9
86,mukela,ngiyokwamukela,V;SG;1;FUT,3,9
87,qeda,ngiyoqeda,V;SG;1;FUT,3,9
88,zisa,ngiyokwazisa,V;SG;1;FUT,3,9
89,gida,ngagida,V;SG;1;PST+RMT,3,9
90,hlisa,ngehlise,V;SG;1;PST+RCT,3,9
91,ngena,ngingene,V;SG;1;PST+RCT,3,9
92,thinta,ngizothinta,V;SG;1;FUT+IMMED,3,9
93,cabanga,ngicabanga,V;SG;1;PRS,3,9
94,sebenza,ngizosebenza,V;SG;1;FUT+IMMED,3,9
95,ngena,ngizongena,V;SG;1;FUT+IMMED,3,9
96,bamba,ngiyobamba,V;SG;1;FUT,3,9
97,khombisa,ngizokhombisa,V;SG;1;FUT+IMMED,3,9
98,hlisa,ngiyokwehlisa,V;SG;1;FUT,3,9
99,sala,ngiyosala,V;SG;1;FUT,3,9
100,thanda,ngithande,V;SG;1;PST+RCT,3,9
101,siza,ngizosiza,V;SG;1;FUT+IMMED,3,9
102,chasisa,ngichasisa,V;SG;1;PRS,3,9
103,funa,ngifune,V;SG;1;PST+RCT,3,9
104,thanda,ngathanda,V;SG;1;PST+RMT,3,9
105,gijima,ngizogijima,V;SG;1;FUT+IMMED,3,9
106,pheka,ngizopheka,V;SG;1;FUT+IMMED,3,9
107,faka,ngifaka,V;SG;1;PRS,3,9
108,zi,ngazi,V;SG;1;PST+RMT,3,9
109,zwa,ngizwe,V;SG;1;PST+RCT,3,9
110,phila,ngiphile,V;SG;1;PST+RCT,3,9
111,bamba,ngibamba,V;SG;1;PRS,3,9
112,naka,ngiyonaka,V;SG;1;FUT,3,9
113,bhala,ngizobhala,V;SG;1;FUT+IMMED,3,9
114,gida,ngizogida,V;SG;1;FUT+IMMED,3,9
115,siza,ngiyosiza,V;SG;1;FUT,3,9
116,linda,ngiyalinda,V;SG;1;PRS,3,9
117,qonda,ngiyaqonda,V;SG;1;PRS,3,9
118,qeda,ngiqeda,V;SG;1;PRS,3,9
119,nika,nginika,V;SG;1;PRS,3,9
120,lwa,ngilwa,V;SG;1;PRS,3,9
121,bhala,ngibhale,V;SG;1;PST+RCT,3,9
122,khombisa,ngiyokhombisa,V;SG;1;FUT,3,9
123,phefumula,ngizophefumula,V;SG;1;FUT+IMMED,3,9
124,nquma,nginqume,V;SG;1;PST+RCT,3,9
125,ndiza,ngiyondiza,V;SG;1;FUT,3,9
126,biza,ngiyobiza,V;SG;1;FUT,3,9
127,zi,ngiyazi,V;SG;1;PRS,3,9
128,phuza,ngizophuza,V;SG;1;FUT+IMMED,3,9
129,mukela,ngimukela,V;SG;1;PRS,3,9
130,bonakala,ngibonakala,V;SG;1;PRS,3,9
131,lwa,ngalwa,V;SG;1;PST+RMT,3,9
132,phila,ngizophila,V;SG;1;FUT+IMMED,3,9
133,linda,ngalinda,V;SG;1;PST+RMT,3,9
134,hlala phansi,ngihlale phansi,V;SG;1;PST+RCT,3,9
135,phila,ngiyophila,V;SG;1;FUT,3,9
136,fundisa,ngafundisa,V;SG;1;PST+RMT,3,9
137,khuluma,ngikhulume,V;SG;1;PST+RCT,3,9
138,thinta,ngiyothinta,V;SG;1;FUT,3,9
139,khumbula,ngakhumbula,V;SG;1;PST+RMT,3,9
140,buza,ngizobuza,V;SG;1;FUT+IMMED,3,9
141,buza,ngibuze,V;SG;1;PST+RCT,3,9
142,sukuma,ngasukuma,V;SG;1;PST+RMT,3,9
143,khuluma,ngiyokhuluma,V;SG;1;FUT,3,9
144,bona,ngiyobona,V;SG;1;FUT,3,9
145,sukuma,ngisukume,V;SG;1;PST+RCT,3,9
146,faka,ngizofaka,V;SG;1;FUT+IMMED,3,9
147,hamba,ngizohamba,V;SG;1;FUT+IMMED,3,9
148,nda,nganda,V;SG;1;PST+RMT,3,9
149,ndiza,ngindize,V;SG;1;PST+RCT,3,9
150,bheka,ngizobheka,V;SG;1;FUT+IMMED,3,9
151,sebenzisa,ngisebenzisa,V;SG;1;PRS,3,9
152,nda,ngiyande,V;SG;1;PST+RCT,3,9
153,pheka,ngapheka,V;SG;1;PST+RMT,3,9
154,mukela,ngiyamukele,V;SG;1;PST+RCT,3,9
155,hlala phansi,ngiyohlala phansi,V;SG;1;FUT,3,9
156,ndiza,ngizondiza,V;SG;1;FUT+IMMED,3,9
157,bona,ngibona,V;SG;1;PRS,3,9
158,ba,ngizokuba,V;SG;1;FUT+IMMED,3,9
159,mema,ngamema,V;SG;1;PST+RMT,3,9
160,nza,ngizokwenza,V;SG;1;FUT+IMMED,3,9
161,hamba,ngihambe,V;SG;1;PST+RCT,3,9
162,nika,nginike,V;SG;1;PST+RCT,3,9
163,linda,ngizolinda,V;SG;1;FUT+IMMED,3,9
164,dinga,ngidinga,V;SG;1;PRS,3,9
165,thola,ngizothola,V;SG;1;FUT+IMMED,3,9
166,funda,ngifunda,V;SG;1;PRS,3,9
167,phendula,ngiphendula,V;SG;1;PRS,3,9
168,phuma,ngaphuma,V;SG;1;PST+RMT,3,9
169,ndiza,ngindiza,V;SG;1;PRS,3,9
170,thinta,ngathinta,V;SG;1;PST+RMT,3,9
171,thola,ngathola,V;SG;1;PST+RMT,3,9
172,ba,ngaba,V;SG;1;PST+RMT,3,9
173,cabanga,ngizocabanga,V;SG;1;FUT+IMMED,3,9
174,siza,ngisize,V;SG;1;PST+RCT,3,9
175,bonakala,ngizobonakala,V;SG;1;FUT+IMMED,3,9
176,thenga,ngizothenga,V;SG;1;FUT+IMMED,3,9
177,biza,ngizobiza,V;SG;1;FUT+IMMED,3,9
178,funa,ngifuna,V;SG;1;PRS,3,9
179,thanda,ngiyothanda,V;SG;1;FUT,3,9
180,phuza,ngiyophuza,V;SG;1;FUT,3,9
181,hlala phansi,ngihlala phansi,V;SG;1;PRS,3,9
182,khombisa,ngakhombisa,V;SG;1;PST+RMT,3,9
183,khohlwa,ngakhohlwa,V;SG;1;PST+RMT,3,9
184,nda,ngizokwanda,V;SG;1;FUT+IMMED,3,9
185,ba,ngibe,V;SG;1;PST+RCT,3,9
186,dla,ngizokudla,V;SG;1;FUT+IMMED,3,9
187,buyela,ngizobuyela,V;SG;1;FUT+IMMED,3,9
188,sukuma,ngizosukuma,V;SG;1;FUT+IMMED,3,9
189,phinda,ngaphinda,V;SG;1;PST+RMT,3,9
190,za,ngizoza,V;SG;1;FUT+IMMED,3,9
191,mamatheka,ngiyamamatheka,V;SG;1;PRS,3,9
192,zi,ngazile,V;SG;1;PST+RCT,3,9
193,hleka,ngahleka,V;SG;1;PST+RMT,3,9
194,bona,ngizobona,V;SG;1;FUT+IMMED,3,9
195,fa,ngifa,V;SG;1;PRS,3,9
196,sebenza,ngasebenza,V;SG;1;PST+RMT,3,9
197,khohlwa,ngikhohlwa,V;SG;1;PRS,3,9
198,phefumula,ngiyaphefumula,V;SG;1;PRS,3,9
199,bhala,ngibhala,V;SG;1;PRS,3,9
200,nza,ngenza,V;SG;1;PST+RMT,3,9
201,nquma,ngiyonquma,V;SG;1;FUT,3,9
202,thola,ngithola,V;SG;1;PRS,3,9
203,nquma,nganquma,V;SG;1;PST+RMT,3,9
204,naka,ngizonaka,V;SG;1;FUT+IMMED,3,9
205,thuma,ngithume,V;SG;1;PST+RCT,3,9
206,thenga,ngithenge,V;SG;1;PST+RCT,3,9
207,wa,ngiwe,V;SG;1;PST+RCT,3,9
208,khombisa,ngikhombisa,V;SG;1;PRS,3,9
209,wa,ngizowa,V;SG;1;FUT+IMMED,3,9
210,nika,nganika,V;SG;1;PST+RMT,3,9
211,phuka,ngephuka,V;SG;1;PST+RMT,3,9
212,nquma,ngiyanquma,V;SG;1;PRS,3,9
213,khala,ngizokhala,V;SG;1;FUT+IMMED,3,9
214,gida,ngigida,V;SG;1;PRS,3,9
215,dlala,ngidlale,V;SG;1;PST+RCT,3,9
216,khumbula,ngiyakhumbula,V;SG;1;PRS,3,9
217,gida,ngiyogida,V;SG;1;FUT,3,9
218,lala phansi,ngalala phansi,V;SG;1;PST+RMT,3,9
219,bonakala,ngibonakale,V;SG;1;PST+RCT,3,9
220,buyela,ngiyobuyela,V;SG;1;FUT,3,9
221,vuma,ngavuma,V;SG;1;PST+RMT,3,9
222,lala,ngiyolala,V;SG;1;FUT,3,9
223,dinga,ngizodinga,V;SG;1;FUT+IMMED,3,9
224,nzeka,ngenzeka,V;SG;1;PRS,3,9
225,lalela,ngizolalela,V;SG;1;FUT+IMMED,3,9
226,cula,ngizocula,V;SG;1;FUT+IMMED,3,9
227,sukuma,ngiyosukuma,V;SG;1;FUT,3,9
228,zi,ngiyakwazi,V;SG;1;PRS,3,9
229,bhala,ngabhala,V;SG;1;PST+RMT,3,9
230,sebenza,ngisebenza,V;SG;1;PRS,3,9
231,lwa,ngiyokulwa,V;SG;1;FUT,3,9
232,phefumula,ngiphefumule,V;SG;1;PST+RCT,3,9
233,linda,ngiyolinda,V;SG;1;FUT,3,9
234,thanda,ngithanda,V;SG;1;PRS,3,9
235,chasisa,ngachasisa,V;SG;1;PST+RMT,3,9
236,ba,ngiba,V;SG;1;PRS,3,9
237,sala,ngasala,V;SG;1;PST+RMT,3,9
238,cula,ngacula,V;SG;1;PST+RMT,3,9
239,hamba,ngiyahamba,V;SG;1;PRS,3,9
240,ngena,ngangena,V;SG;1;PST+RMT,3,9
241,dla,ngidle,V;SG;1;PST+RCT,3,9
242,khetha,ngikhethe,V;SG;1;PST+RCT,3,9
243,zwa,ngiyokuzwa,V;SG;1;FUT,3,9
244,ma,ngima,V;SG;1;PRS,3,9
245,phinda,ngizophinda,V;SG;1;FUT+IMMED,3,9
246,vuma,ngivuma,V;SG;1;PRS,3,9
247,phefumula,ngaphefumula,V;SG;1;PST+RMT,3,9
248,khumbula,ngiyokhumbula,V;SG;1;FUT,3,9
249,pheka,ngiyopheka,V;SG;1;FUT,3,9
250,dla,ngidla,V;SG;1;PRS,3,9
251,thatha,ngathatha,V;SG;1;PST+RMT,3,9
252,sebenzisa,ngisebenzise,V;SG;1;PST+RCT,3,9
253,fa,ngafa,V;SG;1;PST+RMT,3,9
254,phinda,ngiyophinda,V;SG;1;FUT,3,9
255,buza,ngibuza,V;SG;1;PRS,3,9
256,fundisa,ngifundisa,V;SG;1;PRS,3,9
257,zi,ngiyokwazi,V;SG;1;FUT,3,9
258,bheka,ngibheke,V;SG;1;PST+RCT,3,9
259,zwa,ngazwa,V;SG;1;PST+RMT,3,9
260,mukela,ngamukela,V;SG;1;PST+RMT,3,9
261,siza,ngisiza,V;SG;1;PRS,3,9
262,sala,ngizosala,V;SG;1;FUT+IMMED,3,9
263,thanda,ngiyathanda,V;SG;1;PRS,3,9
264,siza,ngasiza,V;SG;1;PST+RMT,3,9
265,zwa,ngizwa,V;SG;1;PRS,3,9
266,phila,ngiyaphila,V;SG;1;PRS,3,9
267,shayela,ngiyoshayela,V;SG;1;FUT,3,9
268,khuluma,ngikhuluma,V;SG;1;PRS,3,9
269,faka,ngifake,V;SG;1;PST+RCT,3,9
270,bona,ngabona,V;SG;1;PST+RMT,3,9
271,nquma,ngizonquma,V;SG;1;FUT+IMMED,3,9
272,nika,ngiyonika,V;SG;1;FUT,3,9
273,mamatheka,ngamamatheka,V;SG;1;PST+RMT,3,9
274,bheka,ngibheka,V;SG;1;PRS,3,9
275,thenga,ngathenga,V;SG;1;PST+RMT,3,9
276,phendula,ngiphendule,V;SG;1;PST+RCT,3,9
277,cabanga,ngicabange,V;SG;1;PST+RCT,3,9
278,khala,ngikhale,V;SG;1;PST+RCT,3,9
279,phefumula,ngiyophefumula,V;SG;1;FUT,3,9
280,sho,ngizosho,V;SG;1;FUT+IMMED,3,9
281,mema,ngizomema,V;SG;1;FUT+IMMED,3,9
282,thengisa,ngithengisa,V;SG;1;PRS,3,9
283,funa,ngizofuna,V;SG;1;FUT+IMMED,3,9
284,lahlekelwa,ngilahlekelwa,V;SG;1;PRS,3,9
285,hleka,ngiyohleka,V;SG;1;FUT,3,9
286,ndiza,ngandiza,V;SG;1;PST+RMT,3,9
287,phuma,ngiphume,V;SG;1;PST+RCT,3,9
288,khetha,ngiyokhetha,V;SG;1;FUT,3,9
289,vula,ngiyovula,V;SG;1;FUT,3,9
290,wa,ngiwa,V;SG;1;PRS,3,9
291,ba,ngiyokuba,V;SG;1;FUT,3,9
292,qala,ngaqala,V;SG;1;PST+RMT,3,9
293,hlala phansi,ngizohlala phansi,V;SG;1;FUT+IMMED,3,9
294,buyela,ngabuyela,V;SG;1;PST+RMT,3,9
295,qala,ngizoqala,V;SG;1;FUT+IMMED,3,9
296,hlangana,ngiyohlangana,V;SG;1;FUT,3,9
297,fa,ngizokufa,V;SG;1;FUT+IMMED,3,9
298,bulala,ngibulale,V;SG;1;PST+RCT,3,9
299,biza,ngabiza,V;SG;1;PST+RMT,3,9
300,lalela,ngilalela,V;SG;1;PRS,3,9
301,dlala,ngiyodlala,V;SG;1;FUT,3,9
302,lalela,ngiyolalela,V;SG;1;FUT,3,9
303,vala,ngivala,V;SG;1;PRS,3,9
304,lahlekelwa,ngizolahlekelwa,V;SG;1;FUT+IMMED,3,9
305,vala,ngavala,V;SG;1;PST+RMT,3,9
306,faka,ngafaka,V;SG;1;PST+RMT,3,9
307,khetha,ngizokhetha,V;SG;1;FUT+IMMED,3,9
308,zwa,ngizokuzwa,V;SG;1;FUT+IMMED,3,9
309,ma,ngizokuma,V;SG;1;FUT+IMMED,3,9
310,sebenzisa,ngiyosebenzisa,V;SG;1;FUT,3,9
311,zwa,ngiyezwa,V;SG;1;PRS,3,9
312,nza,ngenze,V;SG;1;PST+RCT,3,9
313,nzeka,ngiyokwenzeka,V;SG;1;FUT,3,9
314,qeda,ngiqede,V;SG;1;PST+RCT,3,9
315,hamba,ngiyohamba,V;SG;1;FUT,3,9
316,wa,ngiyowa,V;SG;1;FUT,3,9
317,lahlekelwa,ngiyolahlekelwa,V;SG;1;FUT,3,9
318,vala,ngiyovala,V;SG;1;FUT,3,9
319,hlisa,ngizokwehlisa,V;SG;1;FUT+IMMED,3,9
320,zisa,ngizokwazisa,V;SG;1;FUT+IMMED,3,9
321,ma,ngime,V;SG;1;PST+RCT,3,9
