,lemma,form,tags,family,language
69,yekol,yekoli,V;PRS,3,4
70,zal,kozala,V;NFIN,3,4
71,mem,komema,V;NFIN,3,4
72,tang,tangi,V;PRS,3,4
73,bend,bendi,V;PRS,3,4
74,yekol,yekolaki,V;PST,3,4
75,yok,yokaki,V;PST,3,4
76,tind,kotinda,V;FUT,3,4
77,tong,tongaki,V;PST,3,4
78,sek,sekaki,V;PST,3,4
79,kuf,kokufa,V;NFIN,3,4
80,in,koina,V;NFIN,3,4
81,simb,kosimba,V;FUT,3,4
82,fand,fandi,V;PRS,3,4
83,kuf,kufaki,V;PST,3,4
84,pumbu,kopumbua,V;FUT,3,4
85,zel,zeli,V;PRS,3,4
86,yebis,yebisaki,V;PST,3,4
87,zuw,zuwaki,V;PST,3,4
88,in,koina,V;FUT,3,4
89,bom,bomi,V;PRS,3,4
90,zuw,zuwi,V;PRS,3,4
91,yemb,koyemba,V;NFIN,3,4
92,mel,komela,V;FUT,3,4
93,zuw,kozuwa,V;NFIN,3,4
94,kat,kataki,V;PST,3,4
95,bend,kobenda,V;NFIN,3,4
96,yib,yibaki,V;PST,3,4
97,bebis,kobebisa,V;FUT,3,4
98,band,kobanda,V;FUT,3,4
99,zal,zalaki,V;PST,3,4
100,kim,kimi,V;PRS,3,4
101,bal,bali,V;PRS,3,4
102,vand,kovanda,V;FUT,3,4
103,yebis,koyebisa,V;NFIN,3,4
104,kat,kokata,V;NFIN,3,4
105,kende,kokendea,V;FUT,3,4
106,tal,tali,V;PRS,3,4
107,su,sui,V;PRS,3,4
108,kabwan,kakabwana,V;NFIN,3,4
109,tal,kotala,V;FUT,3,4
110,bebis,bebisi,V;PRS,3,4
111,ling,kolinga,V;FUT,3,4
112,tun,kotuna,V;FUT,3,4
113,li,kolia,V;NFIN,3,4
114,in,ini,V;PRS,3,4
115,sek,seki,V;PRS,3,4
116,tindik,kotindika,V;FUT,3,4
117,lel,kolela,V;NFIN,3,4
118,kat,kati,V;PRS,3,4
119,tal,kotala,V;NFIN,3,4
120,yeb,koyeba,V;FUT,3,4
121,pes,kopesa,V;FUT,3,4
122,tangis,kotangisa,V;NFIN,3,4
123,zel,kozela,V;NFIN,3,4
124,kang,kangaki,V;PST,3,4
125,bend,kobenda,V;FUT,3,4
126,kom,komaki,V;PST,3,4
127,somb,sombi,V;PRS,3,4
128,bongis,bongisi,V;PRS,3,4
129,pulis,kopulisa,V;NFIN,3,4
130,kutan,kokutana,V;FUT,3,4
131,luk,luki,V;PRS,3,4
132,ling,lingi,V;PRS,3,4
133,fand,kofanda,V;FUT,3,4
134,band,kobanda,V;NFIN,3,4
135,kende,kokendea,V;NFIN,3,4
136,beng,bengi,V;PRS,3,4
137,bebis,bebisaki,V;PST,3,4
138,kuf,kufi,V;PRS,3,4
139,fand,kofanda,V;NFIN,3,4
140,kende,kendeaki,V;PST,3,4
141,bebis,kobebisa,V;NFIN,3,4
142,tind,tindi,V;PRS,3,4
143,simb,simbi,V;PRS,3,4
144,kuf,kokufa,V;FUT,3,4
145,in,inaki,V;PST,3,4
146,yok,koyoka,V;NFIN,3,4
147,bal,kobala,V;FUT,3,4
148,tik,kotika,V;NFIN,3,4
149,tun,kotuna,V;NFIN,3,4
150,luk,lukaki,V;PST,3,4
151,tong,kotonga,V;FUT,3,4
152,lamb,lambaki,V;PST,3,4
153,mel,meli,V;PRS,3,4
154,salis,salisi,V;PRS,3,4
155,lel,leli,V;PRS,3,4
156,band,bandi,V;PRS,3,4
157,tik,kotika,V;FUT,3,4
158,bongis,bongisaki,V;PST,3,4
