,lemma,form,tags,family,language
31,yla³,yla³ renq²⁴,V;PFV;PL;3,4,2
32,skwen¹,nskwen²⁰ wa⁴²,V;HAB;PL;1+EXCL,4,2
33,la¹,yla¹,V;PFV;SG;3,4,2
34,ji¹,ntji²⁰ wa⁴²,V;HAB;PL;1+EXCL,4,2
35,ncha¹,ncha²⁰,V;HAB;SG;3,4,2
36,sqan¹,nsqan¹,V;PROG;SG;3,4,2
37,sne³,sne¹,V;PFV;SG;2,4,2
38,lkwi¹,lkwi¹,V;PFV;SG;3,4,2
39,skanq³,skanq¹⁴,V;PROSP;SG;3,4,2
40,ntaq³,ntaq³ wa⁴²,V;PFV;PL;1+EXCL,4,2
41,qu¹⁴,qu¹⁴ renq⁰,V;PROSP;PL;3,4,2
42,yjwiq²,ntjwiq²,V;PROG;SG;3,4,2
43,nkqwa¹,tyqwa⁴²,V;PROSP;SG;2,4,2
44,xta¹,stan¹⁴⁰ wa⁴²,V;PROSP;PL;1+EXCL,4,2
45,ykwenq¹,ykwenq⁴²,V;PFV;SG;2,4,2
46,nlyu¹,tlyu⁴²,V;PROSP;SG;2,4,2
47,nden⁴²,ten⁴,V;PROSP;SG;1,4,2
48,xqan¹,ntxqan¹ wa⁴²,V;PROG;PL;1+EXCL,4,2
49,nkin²,ntykin² wan¹,V;HAB;PL;2,4,2
50,xin⁴²,nxin⁴² wa³²,V;HAB;PL;1+EXCL,4,2
51,ytsen⁴²,ntsen³²,V;PROG;SG;2,4,2
52,sti⁴,sti⁴²,V;PFV;SG;2,4,2
53,ytsen⁴²,nne¹⁴ qne⁰ wa⁴²,V;HAB;PL;1+EXCL,4,2
54,xin²,xin⁴⁰,V;PFV;SG;1,4,2
55,nkwi¹,ntykwen²⁰,V;HAB;SG;1,4,2
56,xyaq²,xyaq renq¹,V;PFV;PL;3,4,2
57,naq¹,nnaq²⁰ renq²⁴,V;HAB;PL;3,4,2
58,xin²,nxin¹⁴ renq⁰,V;HAB;PL;3,4,2
59,kwi¹,tykwen²⁰,V;PROSP;SG;1,4,2
60,stan¹⁴,nstan¹ wan⁰,V;PROG;PL;2,4,2
61,saq²,sanq²an¹,V;PFV;PL;1+INCL,4,2
62,slaq¹,nslaq¹,V;PROG;SG;3,4,2
63,ytiq⁴,ntiq³² renq⁴,V;PROG;PL;3,4,2
64,ntson¹⁴,ntson¹⁴,V;PFV;SG;3,4,2
65,nton³,nton³² wa⁴²,V;PROG;PL;1+EXCL,4,2
66,sti⁴,sten²⁰,V;PFV;SG;1,4,2
67,nglu³,nglu¹⁴⁰ wa⁴²,V;HAB;PL;1+EXCL,4,2
68,nkwi¹,ykwi²⁰ wa⁴²,V;PROSP;PL;1+EXCL,4,2
69,ywi⁴²,ywi⁴²,V;PFV;SG;3,4,2
70,ntykanq³,ntykanq¹⁴,V;HAB;PL;1+INCL,4,2
71,kwan¹,ntkwan⁴,V;HAB;SG;3,4,2
72,ylu³,ndlu³ wa⁴²,V;PROG;PL;1+EXCL,4,2
73,nkjwi⁴²,nkjwi⁴²,V;PFV;SG;3,4,2
74,nkeq³,ntkeq¹⁴⁰ wa⁴²,V;HAB;PL;1+EXCL,4,2
75,sqwe¹⁴,sqwe¹⁴ wan⁰,V;PFV;PL;2,4,2
76,nkwi¹,ykwen²⁰en³²,V;PROSP;PL;1+INCL,4,2
77,xqwa¹⁰,xqwa¹⁰ wa⁴²,V;PFV;PL;1+EXCL,4,2
78,ykwiq⁴,ntykwiq⁴²,V;PROG;SG;2,4,2
79,ntyqo¹,ntyqo¹ wa⁴²,V;PROG;PL;1+EXCL,4,2
80,ji¹,jin⁴,V;PFV;SG;1,4,2
81,swenq³,swenq¹,V;PFV;SG;2,4,2
82,jlya⁴²,jlya³²,V;PFV;SG;2,4,2
83,qne¹,nqne²⁰ wa⁴²,V;HAB;PL;1+EXCL,4,2
84,lkwi¹,tkwi²⁰,V;PROSP;SG;3,4,2
85,qan⁴,nkqan⁴ wa⁴²,V;PROG;PL;1+EXCL,4,2
86,qa²⁴,ntqan¹⁰,V;PROG;PL;1+INCL,4,2
87,ji¹,ntji¹ wa⁴²,V;PROG;PL;1+EXCL,4,2
88,stan¹⁴,nstan¹⁰,V;PROG;PL;1+INCL,4,2
89,ntiqi¹,ntiqi¹,V;PROG;SG;3,4,2
90,sqwe²⁴,sqwe²⁴ wa⁴²,V;PROSP;PL;1+EXCL,4,2
91,sne³,sne¹⁴⁰ wa⁴²,V;PROSP;PL;1+EXCL,4,2
92,nchaq⁴²,nchaq³²,V;PFV;SG;2,4,2
93,ndlyu¹,ndlyu³²,V;PROG;SG;3,4,2
94,sqi²,ntsqi²,V;PROG;SG;3,4,2
95,yqo²,yqo² wa⁴²,V;PFV;PL;1+EXCL,4,2
96,ndyu²,ntyu² wan¹,V;PROSP;PL;2,4,2
97,ykuq²,ntykuq²⁰,V;HAB;SG;2,4,2
98,qa²⁴,qan²⁴,V;PROSP;PL;1+INCL,4,2
99,yjoq⁴,ntyjoq³² renq⁴,V;PROG;PL;3,4,2
100,nlyu¹,nlyu¹ renq²⁴,V;PROG;PL;3,4,2
101,sqna¹,sqna⁴²,V;PFV;SG;2,4,2
102,sqan¹,sqan¹an¹,V;PFV;PL;1+INCL,4,2
103,sqya¹,sqya¹ renq²⁴,V;PFV;PL;3,4,2
104,nkeq³,ntkeq¹⁴ renq¹,V;HAB;PL;3,4,2
105,sen¹,nsen⁴,V;HAB;SG;1,4,2
106,nchin¹,nchin³²,V;PROG;SG;1,4,2
107,naq¹,nnaq¹ renq²⁴,V;PROG;PL;3,4,2
108,nge⁴²,ke²⁴ wa⁴²,V;PROSP;PL;1+EXCL,4,2
109,lya¹⁴,lyan⁴⁰,V;PFV;SG;1,4,2
110,jwi³,ja¹⁴,V;PROSP;SG;3,4,2
111,slya²⁴,xlyan¹⁴,V;PROSP;PL;1+INCL,4,2
112,qya³,ntyqya¹⁴,V;HAB;SG;3,4,2
113,xyaq²,nxyaq² wan¹,V;HAB;PL;2,4,2
114,kwa³,kwa¹⁴ wan⁰,V;PROSP;PL;2,4,2
115,naq¹⁴,nnyaq¹⁴,V;HAB;PL;1+INCL,4,2
116,yo²,ko¹⁴⁰ wa⁴²,V;PROSP;PL;1+EXCL,4,2
117,ngwa²,ngwan²,V;PFV;SG;1,4,2
118,sqya¹,sqya⁴²,V;PFV;SG;2,4,2
119,ntykwan²,ntykwan²an¹,V;HAB;PL;1+INCL,4,2
120,ji¹,ntyji⁴²,V;PROG;SG;2,4,2
121,nkya⁴²,kyan⁴²,V;PROSP;SG;2,4,2
122,nkqi¹,ntyqi¹,V;PROG;SG;3,4,2
123,nti¹,nti¹ wa⁴²,V;PFV;PL;1+EXCL,4,2
124,ntaq³,ntanq²an¹,V;PFV;PL;1+INCL,4,2
125,nten³,nten¹⁴,V;HAB;SG;3,4,2
126,nkin²,ntykin² renq¹,V;HAB;PL;3,4,2
127,slya²⁴,nxlya¹⁴⁰ wa⁴²,V;HAB;PL;1+EXCL,4,2
128,qa²⁴,qa²⁴,V;PROSP;SG;3,4,2
129,ntyi¹,ntyin⁴,V;HAB;SG;1,4,2
130,sqi²,xqi¹⁴⁰ wan¹,V;PROSP;PL;2,4,2
131,slaq¹,nslaq¹ wan²⁴,V;PROG;PL;2,4,2
132,sqwe¹⁴,sqwe¹⁴ renq⁰,V;PROSP;PL;3,4,2
133,yjaq³,ntjaq²⁰,V;PROG;SG;2,4,2
134,qen⁴,ntqe⁴ wa⁴²,V;PROG;PL;1+EXCL,4,2
135,slaq¹,slaq²⁰ renq²⁴,V;PROSP;PL;3,4,2
136,sqwa¹⁴,ntsqwan⁴⁰,V;PROG;SG;1,4,2
137,qya⁴²,ntqya²⁴,V;HAB;SG;3,4,2
138,nge⁴²,kin¹⁴,V;PROSP;PL;1+INCL,4,2
139,ntyja²,ntyja² renq¹,V;PROG;PL;3,4,2
140,nkeq³,nkeq³ wa⁴²,V;PFV;PL;1+EXCL,4,2
141,xka²⁴,nxka²⁴ wan³²,V;HAB;PL;2,4,2
142,sne¹⁴,sne²⁰,V;PFV;SG;2,4,2
143,ntqan¹,ntqan²⁰an³²,V;HAB;PL;1+INCL,4,2
144,xlyu⁴²,nxlyu²⁴,V;HAB;SG;3,4,2
145,ntykwa⁴,ntykwa⁴,V;PFV;SG;3,4,2
146,ytsaq³,ktsaq¹⁴,V;PROSP;SG;3,4,2
147,sqwa¹⁴,ntsqwa¹⁰,V;PROG;SG;3,4,2
148,ntyqya¹,ntyqya²⁰ renq²⁴,V;HAB;PL;3,4,2
149,jen²,ntjen²,V;PROG;SG;3,4,2
150,nna¹,nna⁴²,V;PROG;SG;2,4,2
151,ylu³,ndlyu¹⁴,V;HAB;SG;3,4,2
152,sen¹,sen¹ wan²⁴,V;PROG;PL;2,4,2
153,jwi³,ntyji² renq¹,V;PROG;PL;3,4,2
154,lya¹⁴,nlya¹⁰ wa⁴²,V;PROG;PL;1+EXCL,4,2
155,ndyu²,ndyon⁴⁰,V;HAB;SG;1,4,2
156,ngyla³,ngyla¹,V;PROG;SG;2,4,2
157,sen¹,sen¹,V;PFV;SG;3,4,2
158,ykwanq¹,ykwanq²⁰ wa⁴²,V;PROSP;PL;1+EXCL,4,2
159,xqan¹,ntxqan¹,V;PROG;SG;3,4,2
160,qya⁴²,ntqya²⁴ renq³²,V;HAB;PL;3,4,2
161,la¹,yla¹ renq²⁴,V;PFV;PL;3,4,2
162,skwa³,xkwa¹⁴ wan⁰,V;PROSP;PL;2,4,2
163,yqwe²,yqwe² wa⁴²,V;PFV;PL;1+EXCL,4,2
164,sla¹,slan¹an¹,V;PFV;PL;1+INCL,4,2
165,ykwiq⁴,ntykwiq³² wan⁴,V;PROG;PL;2,4,2
166,yna⁴²,na²⁴ renq³²,V;HAB;PL;3,4,2
167,ntykwa⁴,ntykwa⁴ wa⁴²,V;PFV;PL;1+EXCL,4,2
168,kwa¹⁴,tykwan⁴⁰,V;PROSP;SG;1,4,2
169,jen²,tyjin²⁰,V;PROSP;SG;2,4,2
170,ntykwa⁴,ntykwa⁴ wan⁴,V;PFV;PL;2,4,2
171,ston⁴²,nston²⁴ renq³²,V;HAB;PL;3,4,2
172,ynaq¹,nnaq²⁰,V;HAB;SG;3,4,2
173,kwa³,nkwa¹⁴ renq⁰,V;HAB;PL;3,4,2
174,ntsu⁴²,ntson⁴,V;PFV;SG;1,4,2
175,yqan⁴²,yqan²⁴,V;PROSP;SG;3,4,2
176,skwaq¹,nskwaq¹ wan²⁴,V;PROG;PL;2,4,2
177,qen⁴,ntqe⁴²,V;PROG;SG;2,4,2
178,ngyla³,kila³,V;PROSP;SG;3,4,2
179,nkeq³,nkenq²en¹,V;PFV;PL;1+INCL,4,2
180,nxin⁴²,kxin¹⁴,V;PROSP;SG;3,4,2
181,skanq³,skanq¹⁴⁰ wa⁴²,V;PROSP;PL;1+EXCL,4,2
182,sqya¹,nsqya¹,V;PROG;SG;3,4,2
183,saq²,nsaq²⁰,V;HAB;SG;2,4,2
184,jwi³,jan¹⁴,V;PROSP;PL;1+INCL,4,2
185,ykwiq⁴,ykwiq⁴,V;PFV;SG;3,4,2
186,yna⁴²,na²⁴,V;HAB;SG;3,4,2
187,skonq³,ntkonq¹⁴,V;HAB;PL;1+INCL,4,2
188,ntsiq³,ktsiq²⁰,V;PROSP;SG;2,4,2
189,ntiqi¹,tiqi⁴⁰,V;PROSP;SG;2,4,2
190,xin²,xin²an¹,V;PFV;PL;1+INCL,4,2
191,ntsu⁴²,nchu²⁴ wa⁴²,V;HAB;PL;1+EXCL,4,2
192,nchin¹,nchin¹,V;PFV;SG;3,4,2
193,ytsen⁴²,ntsen³²,V;PROG;SG;1,4,2
194,yna⁴²,kna²⁴ wan³²,V;PROSP;PL;2,4,2
195,xlyu⁴²,xlyu⁴² renq⁴,V;PFV;PL;3,4,2
196,xkwan¹⁴,nxkwan¹⁴ wan⁰,V;HAB;PL;2,4,2
197,yno¹,nno¹ wa⁴²,V;HAB;PL;1+EXCL,4,2
198,ntiqi¹,tiqi²⁰ renq²⁴,V;PROSP;PL;3,4,2
199,ngwa²,ka²⁴ wan³²,V;PROSP;PL;2,4,2
200,slaq¹,slaq⁴²,V;PFV;SG;2,4,2
201,yo²,ndyo² wan¹,V;PROG;PL;2,4,2
202,nchin¹,nchin⁴,V;HAB;SG;1,4,2
203,qen⁴,ntyqin⁴,V;HAB;SG;3,4,2
204,lo²⁴,nlon¹⁴,V;PROG;PL;1+INCL,4,2
205,ntiqi¹,ntiqi¹ wan²⁴,V;PROG;PL;2,4,2
206,ndlyu¹,ndlyon¹on¹,V;PFV;PL;1+INCL,4,2
207,sna³,nsna³,V;PROG;SG;3,4,2
208,skonq³,ntskonq³,V;PROG;SG;3,4,2
209,slu¹⁴,nslon⁴⁰,V;HAB;SG;1,4,2
210,yja¹,ntyjan⁴,V;HAB;SG;1,4,2
211,yqwi⁴,sqwen²⁴en³²,V;PROG;PL;1+INCL,4,2
212,ytsen⁴²,nne¹en¹,V;PROG;PL;1+INCL,4,2
213,nxin⁴²,kxin⁴,V;PROSP;SG;1,4,2
214,nkwa³,ntkwa³ wa⁴²,V;PROG;PL;1+EXCL,4,2
215,nglu³,nglon⁴⁰,V;HAB;SG;1,4,2
216,ntyja²,ntyja²,V;HAB;SG;3,4,2
217,ngon²,ngon¹,V;PFV;SG;2,4,2
218,qa²⁴,ntqa²⁴ renq³²,V;HAB;PL;3,4,2
219,nkqwa⁴²,ntyqwa⁴²,V;HAB;SG;2,4,2
220,ykuq²,ntykuq¹⁴⁰ wa⁴²,V;HAB;PL;1+EXCL,4,2
221,ykwenq¹,ykwenq¹en¹,V;PFV;PL;1+INCL,4,2
222,skwa³,skwan²an¹,V;PFV;PL;1+INCL,4,2
223,ndya³,ndya³,V;PROG;SG;3,4,2
224,nkya⁴²,kya²⁴,V;PROSP;SG;3,4,2
225,sqi²,ntsqi² wa⁴²,V;PROG;PL;1+EXCL,4,2
226,ja¹,ja⁴²,V;PROSP;SG;2,4,2
227,stan¹⁴,stan¹⁴ renq⁰,V;PROSP;PL;3,4,2
228,qne⁴²,nqnen²⁰,V;HAB;SG;1,4,2
229,naq¹⁴,naq¹⁴ renq⁰,V;PFV;PL;3,4,2
230,slaq¹,slaq¹ wan²⁴,V;PFV;PL;2,4,2
231,ntykwa⁴,ntykwa⁴ renq⁴,V;HAB;PL;3,4,2
232,ntiqi¹,ntiqi⁴⁰,V;HAB;SG;2,4,2
233,ntqen¹,ntyqin³²,V;HAB;SG;1,4,2
234,yqan⁴²,ntyqan¹an¹,V;PROG;PL;1+INCL,4,2
235,ntsen⁴²,ktsen⁴,V;PROSP;SG;1,4,2
236,skwaq¹,skwaq¹ wa⁴²,V;PFV;PL;1+EXCL,4,2
237,ngon²,nskwan²an¹,V;PROG;PL;1+INCL,4,2
238,sqyu¹,nsqyu¹ renq²⁴,V;PROG;PL;3,4,2
239,ngya⁴²,ngya²⁴ renq³²,V;PROG;PL;3,4,2
240,ndlyu⁴²,ndlyu⁴² wan⁴,V;PFV;PL;2,4,2
241,sna³,nsna³ wan²⁴,V;PROG;PL;2,4,2
242,ngya⁴²,kya²⁴,V;PROSP;SG;3,4,2
243,ntykonq⁴²,ntykonq²⁴,V;HAB;SG;1,4,2
244,yna⁴²,yna⁴² wan⁴,V;PFV;PL;2,4,2
245,ndiyan³²,tyan²⁰,V;PROSP;SG;1,4,2
246,sqan¹,sqan²⁰ renq²⁴,V;PROSP;PL;3,4,2
247,ntiqi¹,ntqen¹en¹,V;PROG;PL;1+INCL,4,2
248,skanq³,skanq²an¹,V;PFV;PL;1+INCL,4,2
249,jlya⁴²,ntjlyan²⁴,V;HAB;SG;1,4,2
250,ntyi¹,ktyin⁴,V;PROSP;SG;1,4,2
251,ndon⁴²,tyon²⁴ wan³²,V;PROSP;PL;2,4,2
252,ndyi⁴,tyin⁴,V;PROSP;SG;1,4,2
253,ntkonq³,ntkonq¹⁴⁰ wa⁴²,V;HAB;PL;1+EXCL,4,2
254,ntykwen³,ntykwen¹,V;PROG;SG;2,4,2
255,nkqwa⁴²,ntyqwa²⁴,V;HAB;SG;3,4,2
256,yja¹,ntyjan²⁰an³²,V;HAB;PL;1+INCL,4,2
257,skanq³,skanq¹⁴ renq⁰,V;PROSP;PL;3,4,2
258,la¹,nla¹ wan²⁴,V;PROG;PL;2,4,2
259,yjaq³,yjaq³ wan²⁴,V;PFV;PL;2,4,2
260,ngya⁴²,kyan¹⁴,V;PROSP;PL;1+INCL,4,2
261,sen¹,sen⁴²en⁴²,V;PFV;PL;1+INCL,4,2
262,qu¹⁴,ntqu¹ renq⁰,V;PROG;PL;3,4,2
263,skanq³,ntskanq¹⁴ renq⁰,V;HAB;PL;3,4,2
264,yku⁴,ntykon²⁴on³²,V;HAB;PL;1+INCL,4,2
265,xqwa¹⁰,nxqwa¹⁰ wa⁴²,V;HAB;PL;1+EXCL,4,2
266,nkwa³,ntykwa³,V;HAB;SG;3,4,2
267,yna³,ynan⁴⁰,V;PFV;SG;1,4,2
268,sqyu¹,sqyu¹,V;PFV;SG;3,4,2
269,xtyiq¹⁰,xtenq⁴⁰,V;PFV;SG;1,4,2
270,ntkonq³,ntkonq¹⁴,V;HAB;PL;1+INCL,4,2
271,nkya⁴²,ngyan²⁰,V;HAB;SG;1,4,2
272,ntykwan²,ntykwan² wa⁴²,V;PROG;PL;1+EXCL,4,2
273,xne¹⁰,nxnen²en¹,V;PROG;PL;1+INCL,4,2
274,yqwi⁴,ntqwi⁴,V;HAB;SG;3,4,2
275,xin⁴²,nxin³²,V;PROG;SG;3,4,2
276,sne³,sne²⁰,V;PROSP;SG;2,4,2
277,ynaq¹,ynanq⁴,V;PFV;SG;1,4,2
278,snyaq¹,snyaq¹renq²⁴,V;PROSP;PL;3,4,2
279,ntson¹⁴,ntson¹ renq⁰,V;PROG;PL;3,4,2
280,sne³,nsne³ wa⁴²,V;PROG;PL;1+EXCL,4,2
281,ngya⁴²,ngya²⁴ wa⁴²,V;PROG;PL;1+EXCL,4,2
282,ntykwa⁴,ntykwa³² renq⁴,V;PROG;PL;3,4,2
283,xkwen¹⁴,nxkwen⁴⁰,V;HAB;SG;1,4,2
284,ndon⁴²,tyon²⁴ wa⁴²,V;PROSP;PL;1+EXCL,4,2
285,ntsaq⁴²,ntsanq³²,V;PROG;SG;1,4,2
286,ndon⁴²,ndon⁴² wan⁴,V;PROG;PL;2,4,2
287,swenq³,nswenq³ renq²⁴,V;PROG;PL;3,4,2
288,jen²,ntyjin¹⁴,V;HAB;PL;1+INCL,4,2
289,xlyu⁴²,xlyu²⁴ wan⁴,V;PROSP;PL;2,4,2
290,ne⁴²,nn³² qne³² renq⁴,V;PROG;PL;3,4,2
291,sqwa¹⁴,sqwan¹⁴,V;PFV;PL;1+INCL,4,2
292,ntyinq³,ntyinq³,V;PFV;SG;3,4,2
293,ntson¹⁴,ntson²⁰,V;HAB;SG;2,4,2
294,ntykwa⁴,ntykwa⁴,V;HAB;SG;3,4,2
295,ykwenq¹,tykwenq⁴²,V;PROSP;SG;2,4,2
296,skonq³,skonq³ renq²⁴,V;PFV;PL;3,4,2
297,qne¹,qne¹ wan²⁴,V;PFV;PL;2,4,2
298,xne¹⁰,xne¹⁴ renq⁰,V;PROSP;PL;3,4,2
299,sti⁴,nstyin⁴ wa⁴²,V;HAB;PL;1+EXCL,4,2
300,ja¹,ntja¹ wa⁴²,V;PROG;PL;1+EXCL,4,2
301,ntyka²,tyka² wan¹,V;PROSP;PL;2,4,2
302,nkin²,skin⁴⁰,V;PROSP;SG;1,4,2
303,stan¹⁴,nstan⁴⁰,V;HAB;SG;1,4,2
304,ylaq⁴,ylaq⁴ wa⁴²,V;PFV;PL;1+EXCL,4,2
305,yla³,kla¹⁴ renq⁰,V;PROSP;PL;3,4,2
306,ngwa²,ka²⁴ renq³²,V;PROSP;PL;3,4,2
307,skwan⁴,nxkwan²⁰,V;HAB;SG;3,4,2
308,xka²⁴,xka²⁴ renq³²,V;PFV;PL;3,4,2
309,nkin²,ntykin¹,V;PROG;SG;2,4,2
310,yla³,ndlan⁴⁰,V;PROG;SG;1,4,2
311,nxi²,xin²in¹,V;PFV;PL;1+INCL,4,2
312,jwi³,ntyji¹,V;PROG;SG;2,4,2
313,ntsiq³,ntsiq¹⁴ wan²⁴,V;HAB;PL;2,4,2
314,xka²⁴,nxka¹,V;PROG;SG;3,4,2
315,yja¹,tyjan⁴,V;PROSP;SG;1,4,2
316,ntsa²⁴,ktsa²⁴,V;PROSP;SG;3,4,2
317,nxi²,xin²,V;PFV;SG;3,4,2
318,ynaq¹,nnaq¹ wan²⁴,V;PROG;PL;2,4,2
319,nsuq³,nsuq¹,V;PROG;SG;2,4,2
320,ntykwen³,ntykwen³ renq²⁴,V;PROG;PL;3,4,2
321,qnyi¹,nqnyi¹ wa⁴²,V;PROG;PL;1+EXCL,4,2
322,ykuq²,ykuq² wa⁴²,V;PFV;PL;1+EXCL,4,2
323,yqan⁴²,ntyqan³² wan⁴,V;PROG;PL;2,4,2
324,xoq²,xoq¹,V;PFV;SG;2,4,2
325,nten³,nten³ wa⁴²,V;PROG;PL;1+EXCL,4,2
326,nge⁴²,ndye²⁴,V;HAB;SG;3,4,2
327,jen²,ntyjin¹⁴,V;HAB;SG;3,4,2
328,nxi²,nxin² wan¹,V;HAB;PL;2,4,2
329,nkonq⁴²,ntkonq¹on¹,V;PROG;PL;1+INCL,4,2
330,xtyiq¹⁰,nxtyiq¹⁰,V;PROG;SG;3,4,2
331,xin⁴²,nxin³² wa⁴²,V;PROG;PL;1+EXCL,4,2
332,yqwi⁴,sqwi⁴²,V;PROG;SG;2,4,2
333,ntsen⁴²,ntsen³²,V;PROG;SG;1,4,2
334,sqyu¹,sqyu¹ wan²⁴,V;PFV;PL;2,4,2
335,nda³,nda¹,V;PROG;SG;3,4,2
336,xkwen¹⁴,nxkwen¹⁴ wan⁰,V;HAB;PL;2,4,2
337,ndywiq³,tywiq²⁰,V;PROSP;SG;2,4,2
338,kwa¹⁴,ntykwan¹⁴,V;HAB;PL;1+INCL,4,2
339,jen²,tyjin¹⁴ renq⁰,V;PROSP;PL;3,4,2
340,yqwe²,ntqwe² wan¹,V;PROG;PL;2,4,2
341,ykwiq⁴,ntykwenq²⁴en³²,V;HAB;PL;1+INCL,4,2
342,naq¹,knaq²⁰ wa⁴²,V;PROSP;PL;1+EXCL,4,2
343,sqwe²⁴,nsqwe²⁴ renq³²,V;HAB;PL;3,4,2
344,sqna¹,sqna¹ wa⁴²,V;PFV;PL;1+EXCL,4,2
345,sqyu¹,sqyu²⁰ wan²⁴,V;PROSP;PL;2,4,2
346,yqan⁴²,ntyqan³² renq⁴,V;PROG;PL;3,4,2
347,ntiqi¹,ntiqi²⁰,V;HAB;SG;3,4,2
348,kwa³,kwa¹⁴ renq⁰,V;PROSP;PL;3,4,2
349,son³,xon²⁰on³²,V;PROSP;PL;1+INCL,4,2
350,nchaq⁴²,kchaq²⁴ wa⁴²,V;PROSP;PL;1+EXCL,4,2
351,yla³,kla²⁰,V;PROSP;SG;2,4,2
352,ykwiq⁴,ntykwiq³²,V;PROG;SG;3,4,2
353,sla¹,nsla²⁰ wa⁴²,V;HAB;PL;1+EXCL,4,2
354,ykwenq¹,ntykwenq²⁰wa⁴²,V;HAB;PL;1+EXCL,4,2
355,nkqi¹,kqi²⁰ wa⁴²,V;PROSP;PL;1+EXCL,4,2
356,sqwe²⁴,nsqwen¹⁴,V;HAB;SG;1,4,2
357,kwan¹,ntkwan⁴ wan⁴,V;HAB;PL;2,4,2
358,la¹,nla⁴²,V;HAB;SG;2,4,2
359,xyaq²,xyaq² wa⁴²,V;PROSP;PL;1+EXCL,4,2
360,sqwe²⁴,sqwe²⁴,V;PFV;SG;3,4,2
361,nkqwa¹,nkqwa¹,V;PFV;SG;3,4,2
362,sna³,nxna¹⁴⁰ wa⁴²,V;HAB;PL;1+EXCL,4,2
363,swenq³,nswenq³ wa⁴²,V;PROG;PL;1+EXCL,4,2
364,xla³,xla³,V;PROSP;SG;3,4,2
365,lqa³,ntqa³ wa⁴²,V;PROG;PL;1+EXCL,4,2
366,yjoq⁴,kjoq⁴,V;PROSP;SG;3,4,2
367,qa²⁴,qan²⁴,V;PFV;PL;1+INCL,4,2
368,ntyka²,ntykan²,V;PFV;SG;1,4,2
369,ja¹,ntyja⁴²,V;HAB;SG;2,4,2
370,kwa¹⁴,tykwa¹⁴⁰ wa⁴²,V;PROSP;PL;1+EXCL,4,2
371,nya¹⁴,nnya²⁰,V;PROG;SG;2,4,2
372,ykwanq¹,ykwanq⁴²,V;PROSP;SG;2,4,2
373,yku⁴,yku⁴,V;PFV;SG;3,4,2
374,xin²,xin² wa⁴²,V;PFV;PL;1+EXCL,4,2
375,kwan¹,ntkwan⁴ renq⁴,V;HAB;PL;3,4,2
376,ntiqi¹,tiqi²⁰ wa⁴²,V;PROSP;PL;1+EXCL,4,2
377,ywi⁴²,ntjwi⁴²,V;HAB;SG;2,4,2
378,ji¹,ji²⁰in³²,V;PROSP;PL;1+INCL,4,2
379,nton⁴²,nton³² wa⁴²,V;PROG;PL;1+EXCL,4,2
380,ntsa²⁴,ktsa²⁴ wa⁴²,V;PROSP;PL;1+EXCL,4,2
381,lya¹⁴,nlya¹⁴,V;HAB;SG;3,4,2
382,ntqo¹,ntqo¹ renq²⁴,V;PFV;PL;3,4,2
