,lemma,form,tags,family,language
0,billige,billige,V;NFIN;ACT,1,2
49,carbonkredsløb,carbonkredsløbets,N;NOM;DEF;SG,1,2
50,suffiks,suffikset,N;NOM;DEF;SG,1,2
51,mafia,mafiaerne,N;NOM;DEF;PL,1,2
52,flange,flanges,N;GEN;INDF;SG,1,2
53,fagforening,fagforening,N;NOM;INDF;SG,1,2
54,konserveringsmiddel,konserveringsmidlet,N;NOM;DEF;SG,1,2
55,mare,maren,N;NOM;DEF;SG,1,2
56,muslim,muslimerne,N;NOM;DEF;PL,1,2
57,anorak,anorakkenes,N;NOM;DEF;PL,1,2
58,forårsrulle,forårsrullen,N;NOM;DEF;SG,1,2
59,diadem,diademernes,N;NOM;DEF;PL,1,2
60,kommentere,kommenteredes,V;IND;PST;PASS,1,2
61,alfabet,alfabet,N;NOM;INDF;SG,1,2
62,godbid,godbiddens,N;NOM;DEF;SG,1,2
63,svigerinde,svigerindens,N;NOM;DEF;SG,1,2
64,antistof,antistoffet,N;NOM;DEF;SG,1,2
65,pilot,piloters,N;GEN;INDF;PL,1,2
66,bon,bonernes,N;NOM;DEF;PL,1,2
67,dyrskue,dyrskuerne,N;NOM;DEF;PL,1,2
68,algoritme,algoritmer,N;NOM;INDF;PL,1,2
69,nøgleord,nøgleordets,N;NOM;DEF;SG,1,2
70,antibiotikum,antibiotika,N;NOM;INDF;PL,1,2
71,sæbe,sæbes,N;GEN;INDF;SG,1,2
72,dekade,dekadens,N;NOM;DEF;SG,1,2
73,fæstning,fæstnings,N;GEN;INDF;SG,1,2
74,halvtredser,halvtredsers,N;GEN;INDF;SG,1,2
75,stofmængde,stofmængderne,N;NOM;DEF;PL,1,2
76,ballet,balletter,N;NOM;INDF;PL,1,2
77,tryllekunstner,tryllekunstneren,N;NOM;DEF;SG,1,2
78,klima,klimas,N;GEN;INDF;SG,1,2
79,fjols,fjolsets,N;NOM;DEF;SG,1,2
80,skidt,skidts,N;GEN;INDF;SG,1,2
81,klassiker,klassikerens,N;NOM;DEF;SG,1,2
82,nøgleroman,nøgleromans,N;GEN;INDF;SG,1,2
83,ornitolog,ornitologer,N;NOM;INDF;PL,1,2
84,urmager,urmagers,N;GEN;INDF;SG,1,2
85,paté,patéens,N;NOM;DEF;SG,1,2
86,lænestol,lænestols,N;GEN;INDF;SG,1,2
87,hind,hindernes,N;NOM;DEF;PL,1,2
88,bi,bier,N;NOM;INDF;PL,1,2
89,babyboom,babybooms,N;GEN;INDF;PL,1,2
90,stangspring,stangspringenes,N;NOM;DEF;PL,1,2
91,roomie,roomiesnes,N;NOM;DEF;PL,1,2
92,bagsæde,bagsæderne,N;NOM;DEF;PL,1,2
93,bibliofil,bibliofil,N;NOM;INDF;SG,1,2
94,idyl,idyllers,N;GEN;INDF;PL,1,2
95,republik,republik,N;NOM;INDF;SG,1,2
96,nakke,nakken,N;NOM;DEF;SG,1,2
97,nitrat,nitrater,N;NOM;INDF;PL,1,2
98,ypsilon,ypsilons,N;GEN;INDF;SG,1,2
99,encyklopædi,encyklopædiers,N;GEN;INDF;PL,1,2
100,kamæleon,kamæleonerne,N;NOM;DEF;PL,1,2
101,faktotum,faktotummerne,N;NOM;DEF;PL,1,2
102,rygsøjle,rygsøjles,N;GEN;INDF;SG,1,2
103,piberenser,piberensernes,N;NOM;DEF;PL,1,2
104,pengeseddel,pengesedler,N;NOM;INDF;PL,1,2
105,planteæder,planteæderes,N;GEN;INDF;PL,1,2
106,konservatorie,konservatorier,N;NOM;INDF;PL,1,2
107,sålbænk,sålbænkens,N;NOM;DEF;SG,1,2
108,navnebroder,navnebroder,N;NOM;INDF;SG,1,2
109,karotin,karotinernes,N;NOM;DEF;PL,1,2
110,afstand,afstande,N;NOM;INDF;PL,1,2
111,valravn,valravne,N;NOM;INDF;PL,1,2
112,græsslåmaskine,græsslåmaskinen,N;NOM;DEF;SG,1,2
113,fødselshyppighed,fødselshyppigheder,N;NOM;INDF;PL,1,2
114,tillægsord,tillægsordene,N;NOM;DEF;PL,1,2
115,filigran,filigrannerne,N;NOM;DEF;PL,1,2
116,konference,konferencer,N;NOM;INDF;PL,1,2
117,måge,måges,N;GEN;INDF;SG,1,2
118,ballon,ballonens,N;NOM;DEF;SG,1,2
119,halvø,halvøens,N;NOM;DEF;SG,1,2
120,diplom,diplomet,N;NOM;DEF;SG,1,2
121,ananas,ananas',N;GEN;INDF;SG,1,2
122,vektorprodukt,vektorprodukter,N;NOM;INDF;PL,1,2
123,kram,krammets,N;NOM;DEF;SG,1,2
124,mønt,mønt,N;NOM;INDF;SG,1,2
125,medalje,medalje,N;NOM;INDF;SG,1,2
126,aborre,aborrerne,N;NOM;DEF;PL,1,2
127,juveler,juveler,N;NOM;INDF;SG,1,2
128,krage,krage,N;NOM;INDF;SG,1,2
129,landsbytosse,landsbytossernes,N;NOM;DEF;PL,1,2
130,højtaler,højtalere,N;NOM;INDF;PL,1,2
131,vingummibamse,vingummibamsens,N;NOM;DEF;SG,1,2
132,grube,gruberne,N;NOM;DEF;PL,1,2
133,retfærdighed,retfærdigheders,N;GEN;INDF;PL,1,2
134,årti,årtiers,N;GEN;INDF;PL,1,2
135,partner,partneres,N;GEN;INDF;PL,1,2
136,regulere,regulerer,V;IND;PRS;ACT,1,2
137,kedel,kedlerne,N;NOM;DEF;PL,1,2
138,parlament,parlamenternes,N;NOM;DEF;PL,1,2
139,håndjern,håndjern,N;NOM;INDF;SG,1,2
140,tøjle,tøjlers,N;GEN;INDF;PL,1,2
141,ispind,ispinds,N;GEN;INDF;SG,1,2
142,glimt,glimts,N;GEN;INDF;PL,1,2
143,bifamilie,bifamiliens,N;NOM;DEF;SG,1,2
144,svensker,svensker,N;NOM;INDF;SG,1,2
145,fodre,fodre,V;NFIN;ACT,1,2
146,foderbræt,foderbrættet,N;NOM;DEF;SG,1,2
147,hasselnød,hasselnødders,N;GEN;INDF;PL,1,2
148,sabel,sabler,N;NOM;INDF;PL,1,2
149,flyvning,flyvningernes,N;NOM;DEF;PL,1,2
150,klassiker,klassikerne,N;NOM;DEF;PL,1,2
151,hindbærsnitte,hindbærsnitten,N;NOM;DEF;SG,1,2
152,hustru,hustruerne,N;NOM;DEF;PL,1,2
153,vegetar,vegetars,N;GEN;INDF;SG,1,2
154,svend,svend,N;NOM;INDF;SG,1,2
155,pote,poternes,N;NOM;DEF;PL,1,2
156,palæstinenser,palæstinenserens,N;NOM;DEF;SG,1,2
157,stab,stabenes,N;NOM;DEF;PL,1,2
158,udelukkelse,udelukkelsernes,N;NOM;DEF;PL,1,2
159,vippe,vippe,N;NOM;INDF;SG,1,2
160,veteran,veteraner,N;NOM;INDF;PL,1,2
161,pesticid,pesticid,N;NOM;INDF;SG,1,2
162,olding,oldingene,N;NOM;DEF;PL,1,2
163,kugle,kugle,N;NOM;INDF;SG,1,2
164,løkke,løkker,N;NOM;INDF;PL,1,2
165,klovn,klovnen,N;NOM;DEF;SG,1,2
166,formiddag,formiddag,N;NOM;INDF;SG,1,2
167,turban,turbanerne,N;NOM;DEF;PL,1,2
168,spindelvæv,spindelvævs,N;GEN;INDF;PL,1,2
169,forudsætning,forudsætning,N;NOM;INDF;SG,1,2
170,yngling,ynglingene,N;NOM;DEF;PL,1,2
171,dialekt,dialekt,N;NOM;INDF;SG,1,2
172,sætning,sætning,N;NOM;INDF;SG,1,2
173,mandarin,mandarinernes,N;NOM;DEF;PL,1,2
174,emirat,emirater,N;NOM;INDF;PL,1,2
175,nytårsaften,nytårsaftens,N;GEN;INDF;SG,1,2
176,palæ,palæets,N;NOM;DEF;SG,1,2
177,vadested,vadested,N;NOM;INDF;SG,1,2
178,guldur,guldurs,N;GEN;INDF;SG,1,2
179,spisebord,spisebord,N;NOM;INDF;SG,1,2
180,modersmål,modersmålene,N;NOM;DEF;PL,1,2
181,cigar,cigaren,N;NOM;DEF;SG,1,2
182,arrangere,arrangerer,V;IND;PRS;ACT,1,2
183,snebold,snebolden,N;NOM;DEF;SG,1,2
184,røvhul,røvhuls,N;GEN;INDF;SG,1,2
185,belgier,belgierne,N;NOM;DEF;PL,1,2
186,nøgleroman,nøgleromaners,N;GEN;INDF;PL,1,2
187,perker,perkerens,N;NOM;DEF;SG,1,2
188,tone,tonens,N;NOM;DEF;SG,1,2
189,element,elementernes,N;NOM;DEF;PL,1,2
190,vegetar,vegetarerne,N;NOM;DEF;PL,1,2
191,succes,succes,N;NOM;INDF;SG,1,2
192,gærdesmutte,gærdesmutternes,N;NOM;DEF;PL,1,2
193,atomkerne,atomkerner,N;NOM;INDF;PL,1,2
194,kerne,kernernes,N;NOM;DEF;PL,1,2
195,kejsersnit,kejsersnittet,N;NOM;DEF;SG,1,2
196,østkyst,østkyster,N;NOM;INDF;PL,1,2
197,bombardement,bombardementet,N;NOM;DEF;SG,1,2
198,musketer,musketerernes,N;NOM;DEF;PL,1,2
199,cembalist,cembalister,N;NOM;INDF;PL,1,2
200,cigar,cigar,N;NOM;INDF;SG,1,2
201,rejecocktail,rejecocktails,N;GEN;INDF;PL,1,2
202,mål,målenes,N;NOM;DEF;PL,1,2
203,element,elementer,N;NOM;INDF;PL,1,2
204,skafot,skafotter,N;NOM;INDF;PL,1,2
205,uge,ugens,N;NOM;DEF;SG,1,2
206,smørrebrød,smørrebrødets,N;NOM;DEF;SG,1,2
207,turban,turbanernes,N;NOM;DEF;PL,1,2
208,kaptajn,kaptajnen,N;NOM;DEF;SG,1,2
209,modalverbum,modalverbums,N;GEN;INDF;SG,1,2
210,knæ,knæs,N;GEN;INDF;SG,1,2
211,høst,høsts,N;GEN;INDF;SG,1,2
212,urinrør,urinrørs,N;GEN;INDF;PL,1,2
213,bygning,bygnings,N;GEN;INDF;SG,1,2
214,kastanje,kastanjens,N;NOM;DEF;SG,1,2
215,basketballspiller,basketballspillere,N;NOM;INDF;PL,1,2
216,hø,høs,N;GEN;INDF;SG,1,2
217,omelet,omelets,N;GEN;INDF;SG,1,2
218,eksempelsætning,eksempelsætninger,N;NOM;INDF;PL,1,2
219,vane,vaners,N;GEN;INDF;PL,1,2
220,akkordeon,akkordeons,N;GEN;INDF;SG,1,2
221,gyngehest,gyngehestene,N;NOM;DEF;PL,1,2
222,arrigtrold,arrigtroldes,N;GEN;INDF;PL,1,2
223,veganer,veganere,N;NOM;INDF;PL,1,2
224,perker,perkernes,N;NOM;DEF;PL,1,2
225,kejser,kejserens,N;NOM;DEF;SG,1,2
226,distrahere,distraher,V;IMP;ACT,1,2
227,melodigrandprix,melodigrandprixers,N;GEN;INDF;PL,1,2
228,sekretariat,sekretariatet,N;NOM;DEF;SG,1,2
229,gondol,gondolens,N;NOM;DEF;SG,1,2
230,symfoni,symfonierne,N;NOM;DEF;PL,1,2
231,græs,græs',N;GEN;INDF;SG,1,2
232,bold,bolds,N;GEN;INDF;SG,1,2
233,muslim,muslim,N;NOM;INDF;SG,1,2
234,mineralogi,mineralogiens,N;NOM;DEF;SG,1,2
235,åg,åg,N;NOM;INDF;SG,1,2
236,værdimængde,værdimængde,N;NOM;INDF;SG,1,2
237,ven,venners,N;GEN;INDF;PL,1,2
238,plads,pladser,N;NOM;INDF;PL,1,2
239,kontinent,kontinenterne,N;NOM;DEF;PL,1,2
240,kronprins,kronprinsen,N;NOM;DEF;SG,1,2
241,rejsebureau,rejsebureauers,N;GEN;INDF;PL,1,2
242,terzet,terzetterne,N;NOM;DEF;PL,1,2
243,sorg,sorgen,N;NOM;DEF;SG,1,2
244,fluesmækker,fluesmækkeren,N;NOM;DEF;SG,1,2
245,lillehjerne,lillehjernen,N;NOM;DEF;SG,1,2
246,knap,knappers,N;GEN;INDF;PL,1,2
247,forelæsning,forelæsning,N;NOM;INDF;SG,1,2
248,konklusion,konklusions,N;GEN;INDF;SG,1,2
249,kugleramme,kuglerammes,N;GEN;INDF;SG,1,2
250,polyeder,polyedrenes,N;NOM;DEF;PL,1,2
251,ræv,rævs,N;GEN;INDF;SG,1,2
252,frokost,frokosten,N;NOM;DEF;SG,1,2
253,møde,mødets,N;NOM;DEF;SG,1,2
254,riste,ristes,V;IND;PRS;PASS,1,2
255,politimester,politimestres,N;GEN;INDF;PL,1,2
256,hvil,hvilenes,N;NOM;DEF;PL,1,2
257,tryne,trynen,N;NOM;DEF;SG,1,2
258,hovedstad,hovedstad,N;NOM;INDF;SG,1,2
259,klient,klients,N;GEN;INDF;SG,1,2
260,svastika,svastikaerne,N;NOM;DEF;PL,1,2
261,musket,musketters,N;GEN;INDF;PL,1,2
262,mexicaner,mexicanerne,N;NOM;DEF;PL,1,2
263,nektarin,nektarinens,N;NOM;DEF;SG,1,2
264,aborre,aborren,N;NOM;DEF;SG,1,2
265,frikadelle,frikadellen,N;NOM;DEF;SG,1,2
266,brand,brandene,N;NOM;DEF;PL,1,2
267,velsigne,velsigner,V;IND;PRS;ACT,1,2
268,mandola,mandolaer,N;NOM;INDF;PL,1,2
269,furie,furier,N;NOM;INDF;PL,1,2
270,udvikling,udviklings,N;GEN;INDF;SG,1,2
271,fællesbetegnelse,fællesbetegnelser,N;NOM;INDF;PL,1,2
272,sten,stens,N;GEN;INDF;SG,1,2
273,fælled,fælleden,N;NOM;DEF;SG,1,2
274,skizofreni,skizofrenierne,N;NOM;DEF;PL,1,2
275,papegøje,papegøje,N;NOM;INDF;SG,1,2
276,mage,magernes,N;NOM;DEF;PL,1,2
277,kilogram,kilograms,N;GEN;INDF;SG,1,2
278,bombe,bombernes,N;NOM;DEF;PL,1,2
279,turban,turbaners,N;GEN;INDF;PL,1,2
280,vitamin,vitaminets,N;NOM;DEF;SG,1,2
281,lokum,lokummet,N;NOM;DEF;SG,1,2
282,gab,gabs,N;GEN;INDF;PL,1,2
283,tradition,tradition,N;NOM;INDF;SG,1,2
284,afstand,afstandes,N;GEN;INDF;PL,1,2
285,kornet,kornets,N;GEN;INDF;SG,1,2
286,brændsel,brændslers,N;GEN;INDF;PL,1,2
287,udsagnsled,udsagnsled,N;NOM;INDF;PL,1,2
288,bussemand,bussemænd,N;NOM;INDF;PL,1,2
289,tortere,tortere,V;NFIN;ACT,1,2
290,grunde,grundede,V;IND;PST;ACT,1,2
291,kardiogram,kardiogrammerne,N;NOM;DEF;PL,1,2
292,lagkage,lagkage,N;NOM;INDF;SG,1,2
293,munk,munken,N;NOM;DEF;SG,1,2
294,ode,ode,N;NOM;INDF;SG,1,2
295,navne,navnes,N;GEN;INDF;SG,1,2
296,køretøj,køretøjerne,N;NOM;DEF;PL,1,2
297,padde,padden,N;NOM;DEF;SG,1,2
298,emballage,emballagerne,N;NOM;DEF;PL,1,2
299,harpun,harpunerne,N;NOM;DEF;PL,1,2
300,grunde,grund,V;IMP;ACT,1,2
301,tomat,tomaten,N;NOM;DEF;SG,1,2
302,grundlov,grundloves,N;GEN;INDF;PL,1,2
303,komiker,komikere,N;NOM;INDF;PL,1,2
304,småkage,småkagens,N;NOM;DEF;SG,1,2
305,torv,torve,N;NOM;INDF;PL,1,2
306,sadist,sadisterne,N;NOM;DEF;PL,1,2
307,grundlovsdag,grundlovsdagene,N;NOM;DEF;PL,1,2
308,dråbe,dråber,N;NOM;INDF;PL,1,2
309,rokere,roker,V;IMP;ACT,1,2
310,sadel,sadlen,N;NOM;DEF;SG,1,2
311,ordkløver,ordkløver,N;NOM;INDF;SG,1,2
312,sesamolie,sesamolien,N;NOM;DEF;SG,1,2
313,teater,teatrets,N;NOM;DEF;SG,1,2
314,café au lait,café au laiter,N;NOM;INDF;PL,1,2
315,propeller,propeller,N;NOM;INDF;SG,1,2
316,støvsuger,støvsugernes,N;NOM;DEF;PL,1,2
317,reservere,reserverede,V;IND;PST;ACT,1,2
318,gestus,gestus,N;NOM;INDF;SG,1,2
319,planteæder,planteæderne,N;NOM;DEF;PL,1,2
320,brydningsindeks,brydningsindekset,N;NOM;DEF;SG,1,2
321,effekt,effekts,N;GEN;INDF;SG,1,2
322,stiver,stivers,N;GEN;INDF;SG,1,2
323,fremlejer,fremlejeren,N;NOM;DEF;SG,1,2
324,insektæder,insektæderen,N;NOM;DEF;SG,1,2
325,dyd,dyden,N;NOM;DEF;SG,1,2
326,nisse,nisser,N;NOM;INDF;PL,1,2
327,maskine,maskiners,N;GEN;INDF;PL,1,2
328,suspensorium,suspensorierne,N;NOM;DEF;PL,1,2
329,dåne,dån,V;IMP;ACT,1,2
330,tiendedel,tiendedel,N;NOM;INDF;SG,1,2
331,udvikling,udviklingerne,N;NOM;DEF;PL,1,2
332,ræv,rævenes,N;NOM;DEF;PL,1,2
333,refræn,refrænerne,N;NOM;DEF;PL,1,2
334,sangfugl,sangfuglenes,N;NOM;DEF;PL,1,2
335,krydsermissil,krydsermissil,N;NOM;INDF;SG,1,2
336,markere,markeres,V;IND;PRS;PASS,1,2
337,rensdyr,rensdyrs,N;GEN;INDF;SG,1,2
338,glente,glenters,N;GEN;INDF;PL,1,2
339,ringfinger,ringfingers,N;GEN;INDF;SG,1,2
340,politibetjent,politibetjentes,N;GEN;INDF;PL,1,2
341,brændsel,brændslerne,N;NOM;DEF;PL,1,2
342,basketballspiller,basketballspilleren,N;NOM;DEF;SG,1,2
343,hav,havenes,N;NOM;DEF;PL,1,2
344,måned,månedens,N;NOM;DEF;SG,1,2
345,sydafrikaner,sydafrikanere,N;NOM;INDF;PL,1,2
346,egetræ,egetræet,N;NOM;DEF;SG,1,2
347,juvel,juveler,N;NOM;INDF;PL,1,2
348,strikkepind,strikkepindens,N;NOM;DEF;SG,1,2
349,bavian,bavian,N;NOM;INDF;SG,1,2
350,ludder,ludderes,N;GEN;INDF;PL,1,2
351,båd,bådens,N;NOM;DEF;SG,1,2
352,kram,krams,N;GEN;INDF;SG,1,2
353,dekagram,dekagrams,N;GEN;INDF;PL,1,2
354,polemik,polemikkens,N;NOM;DEF;SG,1,2
355,skilling,skillings,N;GEN;INDF;SG,1,2
356,kanapé,kanapéer,N;NOM;INDF;PL,1,2
357,loppebid,loppebiddernes,N;NOM;DEF;PL,1,2
358,effekt,effekten,N;NOM;DEF;SG,1,2
359,propel,propeller,N;NOM;INDF;PL,1,2
360,slagsmål,slagsmåls,N;GEN;INDF;PL,1,2
361,sørøver,sørøver,N;NOM;INDF;SG,1,2
362,weekend,weekendernes,N;NOM;DEF;PL,1,2
363,sonate,sonaternes,N;NOM;DEF;PL,1,2
364,stavkirke,stavkirker,N;NOM;INDF;PL,1,2
365,skjald,skjaldenes,N;NOM;DEF;PL,1,2
366,clips,clipsene,N;NOM;DEF;PL,1,2
367,foreningsmængde,foreningsmængdens,N;NOM;DEF;SG,1,2
368,klimaændring,klimaændringer,N;NOM;INDF;PL,1,2
369,atomkraft,atomkræfternes,N;NOM;DEF;PL,1,2
370,ubåd,ubåden,N;NOM;DEF;SG,1,2
371,kælling,kællingers,N;GEN;INDF;PL,1,2
372,planche,plancherne,N;NOM;DEF;PL,1,2
373,køb,købet,N;NOM;DEF;SG,1,2
374,talord,talordene,N;NOM;DEF;PL,1,2
375,mandfolk,mandfolkenes,N;NOM;DEF;PL,1,2
376,klud,klud,N;NOM;INDF;SG,1,2
377,mær,mæren,N;NOM;DEF;SG,1,2
378,indbrud,indbrud,N;NOM;INDF;PL,1,2
379,skulderblad,skulderbladet,N;NOM;DEF;SG,1,2
380,mariehøne,mariehønernes,N;NOM;DEF;PL,1,2
381,oversvømmelse,oversvømmelserne,N;NOM;DEF;PL,1,2
382,kultfilm,kultfilmen,N;NOM;DEF;SG,1,2
383,vaskemaskine,vaskemaskinens,N;NOM;DEF;SG,1,2
384,samarbejde,samarbejdets,N;NOM;DEF;SG,1,2
385,filet,fileter,N;NOM;INDF;PL,1,2
386,bøg,bøgen,N;NOM;DEF;SG,1,2
387,konserveringsmiddel,konserveringsmidlerne,N;NOM;DEF;PL,1,2
388,apotek,apotekerne,N;NOM;DEF;PL,1,2
389,tændstikæske,tændstikæskerne,N;NOM;DEF;PL,1,2
390,cirkel,cirklernes,N;NOM;DEF;PL,1,2
391,kuller,kulleren,N;NOM;DEF;SG,1,2
392,babylonier,babyloniers,N;GEN;INDF;SG,1,2
393,kolibri,kolibris,N;GEN;INDF;SG,1,2
394,vietnameser,vietnameseren,N;NOM;DEF;SG,1,2
395,dessert,dessertens,N;NOM;DEF;SG,1,2
396,Wikipediabrugerside,Wikipediabrugerside,N;NOM;INDF;SG,1,2
397,bøjning,bøjnings,N;GEN;INDF;SG,1,2
398,tangent,tangenternes,N;NOM;DEF;PL,1,2
399,stat,stater,N;NOM;INDF;PL,1,2
400,bønne,bønnes,N;GEN;INDF;SG,1,2
401,kradse,kradsende,V.PTCP;PRS;ACT,1,2
402,araber,arabere,N;NOM;INDF;PL,1,2
403,chikane,chikanernes,N;NOM;DEF;PL,1,2
404,snuble,snubledes,V;IND;PST;PASS,1,2
405,sekretariat,sekretariatets,N;NOM;DEF;SG,1,2
406,vasal,vasallen,N;NOM;DEF;SG,1,2
407,forklare,forklarer,V;IND;PRS;ACT,1,2
408,skyllemiddel,skyllemidlet,N;NOM;DEF;SG,1,2
409,rævegrav,rævegravens,N;NOM;DEF;SG,1,2
410,intelligensalder,intelligensaldrenes,N;NOM;DEF;PL,1,2
411,epitet,epiteternes,N;NOM;DEF;PL,1,2
412,akkordeon,akkordeonerne,N;NOM;DEF;PL,1,2
413,svoger,svogres,N;GEN;INDF;PL,1,2
414,regnskov,regnskoves,N;GEN;INDF;PL,1,2
415,bejae,bejaer,V;IND;PRS;ACT,1,2
416,grundlovsdag,grundlovsdags,N;GEN;INDF;SG,1,2
417,tusinde,tusindets,N;NOM;DEF;SG,1,2
418,juveler,juvelerens,N;NOM;DEF;SG,1,2
419,patient,patient,N;NOM;INDF;SG,1,2
420,bæk,bække,N;NOM;INDF;PL,1,2
421,nektarin,nektarins,N;GEN;INDF;SG,1,2
422,heltal,heltals,N;GEN;INDF;PL,1,2
423,vielsesring,vielsesringen,N;NOM;DEF;SG,1,2
424,spilkarakter,spilkarakteren,N;NOM;DEF;SG,1,2
425,palads,paladset,N;NOM;DEF;SG,1,2
426,narkoman,narkomanen,N;NOM;DEF;SG,1,2
427,lunte,lunterne,N;NOM;DEF;PL,1,2
428,forsørger,forsørgeren,N;NOM;DEF;SG,1,2
429,bamse,bamser,N;NOM;INDF;PL,1,2
430,skildpadde,skildpaddes,N;GEN;INDF;SG,1,2
431,myndighedsrepræsentant,myndighedsrepræsentanters,N;GEN;INDF;PL,1,2
432,mafioso,mafioso,N;NOM;INDF;SG,1,2
433,palmesøndag,palmesøndagens,N;NOM;DEF;SG,1,2
434,straffespark,straffesparkene,N;NOM;DEF;PL,1,2
435,bistro,bistroerne,N;NOM;DEF;PL,1,2
436,kor,korenes,N;NOM;DEF;PL,1,2
437,svip,svippet,N;NOM;DEF;SG,1,2
438,motorsav,motorsaves,N;GEN;INDF;PL,1,2
439,dørklokke,dørklokkerne,N;NOM;DEF;PL,1,2
440,tungemål,tungemål,N;NOM;INDF;PL,1,2
441,stær,stæres,N;GEN;INDF;PL,1,2
442,muldvarp,muldvarpes,N;GEN;INDF;PL,1,2
443,efterår,efteråret,N;NOM;DEF;SG,1,2
444,kongepingvin,kongepingvinen,N;NOM;DEF;SG,1,2
445,faktum,faktaene,N;NOM;DEF;PL,1,2
446,færdselstavle,færdselstavles,N;GEN;INDF;SG,1,2
447,udvikling,udviklingens,N;NOM;DEF;SG,1,2
448,skefuld,skefulds,N;GEN;INDF;SG,1,2
449,golfbold,golfbolds,N;GEN;INDF;SG,1,2
450,gudstjeneste,gudstjenesten,N;NOM;DEF;SG,1,2
451,talemåde,talemåder,N;NOM;INDF;PL,1,2
452,kunst,kunsterne,N;NOM;DEF;PL,1,2
453,sten,sten,N;NOM;INDF;PL,1,2
454,tegneserie,tegneseriernes,N;NOM;DEF;PL,1,2
455,tidsforlængelse,tidsforlængelsens,N;NOM;DEF;SG,1,2
456,fjæs,fjæs',N;GEN;INDF;SG,1,2
457,medgift,medgifternes,N;NOM;DEF;PL,1,2
458,farvestof,farvestof,N;NOM;INDF;SG,1,2
459,profeti,profetien,N;NOM;DEF;SG,1,2
460,forkølelse,forkølelsens,N;NOM;DEF;SG,1,2
461,rende,renden,N;NOM;DEF;SG,1,2
462,telefonbog,telefonbøgers,N;GEN;INDF;PL,1,2
463,snes,snesenes,N;NOM;DEF;PL,1,2
464,suppe,suppen,N;NOM;DEF;SG,1,2
465,nul,nullet,N;NOM;DEF;SG,1,2
466,migræne,migrænes,N;GEN;INDF;SG,1,2
467,torsk,torsk,N;NOM;INDF;SG,1,2
468,rovfugl,rovfuglene,N;NOM;DEF;PL,1,2
469,salte,saltes,V;IND;PRS;PASS,1,2
470,konservatorium,konservatoriumer,N;NOM;INDF;PL,1,2
471,skulder,skulders,N;GEN;INDF;SG,1,2
472,skonnert,skonnerterne,N;NOM;DEF;PL,1,2
473,emballage,emballagens,N;NOM;DEF;SG,1,2
