,lemma,form,tags,family,language
273,päivä,päivilt,N;AT+ABL;PL,5,3
274,jää,jäil,N;AT+ESS;PL,5,3
275,vezi,veelle,N;AT+ALL;SG,5,3
276,aampuussen,aampuustmet,N;NOM;PL,5,3
277,karhu,karhust,N;IN+ABL;SG,5,3
278,mäki,mäkilöille,N;AT+ALL;PL,5,3
279,päivä,päiväks,N;TRANS;SG,5,3
280,voi,voist,N;IN+ABL;SG,5,3
281,vezi,veziiz,N;IN+ESS;PL,5,3
282,hammaz,hampahisse,N;IN+ALL;PL,5,3
283,nain,naizest,N;IN+ABL;SG,5,3
284,päivä,päiviz,N;IN+ESS;PL,5,3
285,lupa,lupa,N;NOM;SG,5,3
286,karhu,karhuks,N;TRANS;SG,5,3
287,daatša,daatšoiks,N;TRANS;PL,5,3
288,daatša,daatšalle,N;AT+ALL;SG,5,3
289,näkö,näkö,N;NOM;SG,5,3
290,päivä,päiviil,N;AT+ESS;PL,5,3
291,jää,jäiks,N;TRANS;PL,5,3
292,vezi,vezille,N;AT+ALL;PL,5,3
293,lupa,luvalle,N;AT+ALL;SG,5,3
294,iez,iez,N;NOM;SG,5,3
295,süän,süämet,N;NOM;PL,5,3
296,lupa,luvaks,N;TRANS;SG,5,3
297,kevät,keväeks,N;TRANS;SG,5,3
298,olut,oluiziiz,N;IN+ESS;PL,5,3
299,hüvä,hüväks,ADJ;TRANS;SG,5,3
300,kassen,kasseent,N;PRT;SG,5,3
301,hammaz,hampahiin,N;GEN;PL,5,3
302,seppä,seppoin,N;ESS;PL,5,3
303,variz,variksilt,N;AT+ABL;PL,5,3
304,kala,kala,N;NOM;SG,5,3
305,joki,joki,N;NOM;SG,5,3
306,lapsi,lapseez,N;IN+ESS;SG,5,3
307,variz,variksee,N;IN+ALL;SG,5,3
308,izä,issää,N;IN+ALL;SG,5,3
309,leipä,leipä,N;NOM;SG,5,3
310,velli,vellilöiz,N;IN+ESS;PL,5,3
311,kukka,kukkiia,N;PRT;PL,5,3
312,korppi,korppiin,N;ESS;SG,5,3
313,leipä,leiville,N;AT+ALL;PL,5,3
314,pää,päät,N;NOM;PL,5,3
315,silmä,silmiiä,N;PRT;PL,5,3
316,variz,variksiks,N;TRANS;PL,5,3
317,lapsi,lapselt,N;AT+ABL;SG,5,3
318,leipä,leivän,N;GEN;SG,5,3
319,jalka,jalkoin,N;GEN;PL,5,3
320,nain,naisseen,N;ESS;SG,5,3
321,kaunehusse,kaunehuksiin,N;ESS;PL,5,3
322,lapsi,lapsilojä,N;PRT;PL,5,3
323,silmä,silmiks,N;TRANS;PL,5,3
324,voi,voiks,N;TRANS;SG,5,3
325,lapsi,lapsiloille,N;AT+ALL;PL,5,3
326,maa,maiz,N;IN+ESS;PL,5,3
327,nain,naiziil,N;AT+ESS;PL,5,3
328,kala,kallaa,N;IN+ALL;SG,5,3
329,kaunehusse,kaunehuksiks,N;TRANS;PL,5,3
330,vezi,vezilt,N;AT+ABL;PL,5,3
331,jää,jään,N;ESS;SG,5,3
332,daatša,daatšaal,N;AT+ESS;SG,5,3
333,mäki,mäelle,N;AT+ALL;SG,5,3
334,ikkuna,ikkunaa,N;PRT;SG,5,3
335,iez,ikehelt,N;AT+ABL;SG,5,3
336,juusso,juussoloja,N;PRT;PL,5,3
337,hüvä,hüvääz,ADJ;IN+ESS;SG,5,3
338,voi,voit,N;NOM;PL,5,3
339,silmä,silmälle,N;AT+ALL;SG,5,3
340,jalka,jaloil,N;AT+ESS;PL,5,3
341,kala,kalast,N;IN+ABL;SG,5,3
342,olut,olueez,N;IN+ESS;SG,5,3
343,izä,izält,N;AT+ABL;SG,5,3
344,silmä,silmäks,N;TRANS;SG,5,3
345,lammaz,lammast,N;PRT;SG,5,3
346,siar,sizariks,N;TRANS;PL,5,3
347,iez,ikehelle,N;AT+ALL;SG,5,3
348,olut,oluest,N;IN+ABL;SG,5,3
349,pökköiheinä,pökköiheinä,N;NOM;SG,5,3
350,mäki,mäet,N;NOM;PL,5,3
351,aampuussen,aampuussen,N;NOM;SG,5,3
352,kala,kalat,N;NOM;PL,5,3
353,luu,luust,N;IN+ABL;SG,5,3
354,kassen,kastmille,N;AT+ALL;PL,5,3
355,meez,meeheez,N;IN+ESS;SG,5,3
356,hammaz,hampahaan,N;ESS;SG,5,3
357,karhu,karhuun,N;ESS;SG,5,3
358,aampuussen,aampuustmeks,N;TRANS;SG,5,3
359,lumi,lumiloin,N;GEN;PL,5,3
360,korppi,korpiil,N;AT+ESS;SG,5,3
361,nain,naizen,N;GEN;SG,5,3
362,aampuussen,aampuustmilt,N;AT+ABL;PL,5,3
363,kassen,kastmeks,N;TRANS;SG,5,3
364,vezi,veetteen,N;ESS;SG,5,3
365,vezi,vettä,N;PRT;SG,5,3
366,juusso,juusolle,N;AT+ALL;SG,5,3
367,tähti,tähilöil,N;AT+ESS;PL,5,3
368,nain,naissiia,N;PRT;PL,5,3
369,siar,sizarist,N;IN+ABL;PL,5,3
370,jää,jääz,N;IN+ESS;SG,5,3
371,izä,issään,N;ESS;SG,5,3
372,kukka,kukkaa,N;IN+ALL;SG,5,3
373,voi,voin,N;ESS;PL,5,3
374,päivä,päiväz,N;IN+ESS;SG,5,3
375,näkö,näkölöist,N;IN+ABL;PL,5,3
376,kuu,kuita,N;PRT;PL,5,3
377,päivä,päiviiä,N;PRT;PL,5,3
378,leipä,leippiin,N;ESS;PL,5,3
379,luu,luin,N;ESS;PL,5,3
380,lapsi,lapsiloin,N;GEN;PL,5,3
381,hüvä,hüviil,ADJ;AT+ESS;PL,5,3
382,aika,aijjan,N;GEN;SG,5,3
383,lupa,luvalt,N;AT+ABL;SG,5,3
384,meez,meeheen,N;ESS;SG,5,3
385,kukka,kukalle,N;AT+ALL;SG,5,3
386,kala,kalloja,N;PRT;PL,5,3
387,aampuussen,aampuusseent,N;PRT;SG,5,3
388,jalka,jalkaan,N;ESS;SG,5,3
389,juusso,juusolt,N;AT+ABL;SG,5,3
390,kukka,kukkiin,N;GEN;PL,5,3
391,kuu,kuiks,N;TRANS;PL,5,3
392,kala,kalaks,N;TRANS;SG,5,3
393,aampuussen,aampuustmist,N;IN+ABL;PL,5,3
394,ikkuna,ikkunaal,N;AT+ESS;SG,5,3
395,luu,luun,N;GEN;SG,5,3
396,maa,maiks,N;TRANS;PL,5,3
397,lapsi,lapsi,N;NOM;SG,5,3
398,kuu,kuust,N;IN+ABL;SG,5,3
399,korppi,korpiiz,N;IN+ESS;SG,5,3
400,pää,päitä,N;PRT;PL,5,3
401,kuu,kuuks,N;TRANS;SG,5,3
402,ikkuna,ikkunast,N;IN+ABL;SG,5,3
403,mäki,mäeez,N;IN+ESS;SG,5,3
404,ikä,ikist,N;IN+ABL;PL,5,3
405,joki,jokiloilt,N;AT+ABL;PL,5,3
406,ikkuna,ikkunoist,N;IN+ABL;PL,5,3
407,daatša,daatšoille,N;AT+ALL;PL,5,3
408,näkö,näkköö,N;IN+ALL;SG,5,3
409,izä,izät,N;NOM;PL,5,3
410,päivä,päivät,N;NOM;PL,5,3
411,kuu,kuist,N;IN+ABL;PL,5,3
412,lumi,lumen,N;GEN;SG,5,3
413,iez,ikehiiz,N;IN+ESS;PL,5,3
414,käzi,käziks,N;TRANS;PL,5,3
415,iez,ikehist,N;IN+ABL;PL,5,3
416,voi,voil,N;AT+ESS;SG,5,3
417,tüär,tütärist,N;IN+ABL;PL,5,3
418,öö,ööst,N;IN+ABL;SG,5,3
419,izä,izöiz,N;IN+ESS;PL,5,3
420,maa,maan,N;ESS;SG,5,3
421,hüvä,hüvääl,ADJ;AT+ESS;SG,5,3
422,ikkuna,ikkunoihe,N;IN+ALL;PL,5,3
423,lammaz,lampahille,N;AT+ALL;PL,5,3
424,mäki,mäelt,N;AT+ABL;SG,5,3
425,siar,sizariiz,N;IN+ESS;PL,5,3
426,kassen,kastmest,N;IN+ABL;SG,5,3
427,süän,süämmeen,N;ESS;SG,5,3
428,iez,ikehisse,N;IN+ALL;PL,5,3
429,voi,voita,N;PRT;SG,5,3
430,pökköiheinä,pökköiheinäks,N;TRANS;SG,5,3
431,kassen,kastmist,N;IN+ABL;PL,5,3
432,kevät,keväelle,N;AT+ALL;SG,5,3
433,süän,süämiil,N;AT+ESS;PL,5,3
434,juusso,juussoloiz,N;IN+ESS;PL,5,3
435,juusso,juuson,N;GEN;SG,5,3
436,hammaz,hampahia,N;PRT;PL,5,3
437,juusso,juusso,N;NOM;SG,5,3
438,luu,luun,N;ESS;SG,5,3
439,hammaz,hampahiz,N;IN+ESS;PL,5,3
440,joki,jokiloiz,N;IN+ESS;PL,5,3
441,kuu,kuulle,N;AT+ALL;SG,5,3
442,jalka,jaloilt,N;AT+ABL;PL,5,3
443,säkki,säkkilöist,N;IN+ABL;PL,5,3
444,kevät,kevvääen,N;GEN;SG,5,3
445,kuu,kuilt,N;AT+ABL;PL,5,3
446,mäki,mäkilöiks,N;TRANS;PL,5,3
447,ikä,ikiiz,N;IN+ESS;PL,5,3
448,kevät,keväille,N;AT+ALL;PL,5,3
449,olut,olluuvven,N;GEN;SG,5,3
450,olut,oluiziil,N;AT+ESS;PL,5,3
451,aika,aikkaan,N;ESS;SG,5,3
452,leipä,leivilt,N;AT+ABL;PL,5,3
453,ikkuna,ikkunoja,N;PRT;PL,5,3
454,hammaz,hampahist,N;IN+ABL;PL,5,3
455,kassen,kastmeez,N;IN+ESS;SG,5,3
456,maa,mail,N;AT+ESS;PL,5,3
457,joki,jokiloin,N;ESS;PL,5,3
458,luu,luille,N;AT+ALL;PL,5,3
459,korppi,korppiloin,N;ESS;PL,5,3
460,olut,olueen,N;ESS;SG,5,3
461,aampuussen,aampuustmia,N;PRT;PL,5,3
462,kuu,kuil,N;AT+ESS;PL,5,3
463,säkki,säkkilöiks,N;TRANS;PL,5,3
464,järvi,järvilöist,N;IN+ABL;PL,5,3
465,pää,päihe,N;IN+ALL;PL,5,3
466,joki,jokkee,N;IN+ALL;SG,5,3
467,kuu,kuuta,N;PRT;SG,5,3
468,jalka,jalaaz,N;IN+ESS;SG,5,3
469,tähti,tähtiä,N;PRT;SG,5,3
470,pökköiheinä,pökköiheiniin,N;GEN;PL,5,3
471,ikkuna,ikkuna,N;NOM;SG,5,3
472,lupa,luville,N;IN+ABL;PL,5,3
473,velli,vellest,N;IN+ABL;SG,5,3
474,olut,oluiziin,N;GEN;PL,5,3
475,siar,sizareen,N;ESS;SG,5,3
476,tüär,tütärest,N;IN+ABL;SG,5,3
477,karhu,karhuloil,N;AT+ESS;PL,5,3
478,karhu,karhulle,N;AT+ALL;SG,5,3
479,siar,sizarille,N;AT+ALL;PL,5,3
480,lammaz,lampahiiz,N;IN+ESS;PL,5,3
481,tüär,tütäria,N;PRT;PL,5,3
482,öö,öil,N;AT+ESS;PL,5,3
483,näkö,näkölöil,N;AT+ESS;PL,5,3
484,silmä,silmän,N;GEN;SG,5,3
485,ikä,ikkii,N;IN+ALL;PL,5,3
486,leipä,leippii,N;IN+ALL;PL,5,3
487,kassen,kastmiil,N;AT+ESS;PL,5,3
488,öö,öille,N;AT+ALL;PL,5,3
489,maa,maal,N;AT+ESS;SG,5,3
490,olut,oluizist,N;IN+ABL;PL,5,3
491,hüvä,hüvviin,ADJ;ESS;PL,5,3
492,ikä,ikäks,N;TRANS;SG,5,3
493,näkö,näkölöiks,N;TRANS;PL,5,3
494,velli,vellelt,N;AT+ABL;SG,5,3
495,seppä,sepääz,N;IN+ESS;SG,5,3
496,lammaz,lampahalle,N;AT+ALL;SG,5,3
497,tähti,täheen,N;ESS;SG,5,3
498,süän,süämeel,N;AT+ESS;SG,5,3
499,lumi,lumiloil,N;AT+ESS;PL,5,3
500,jää,jäätä,N;PRT;SG,5,3
501,tähti,tähilöin,N;ESS;PL,5,3
502,süän,süämmiin,N;GEN;PL,5,3
503,tähti,tähilöille,N;AT+ALL;PL,5,3
504,karhu,karhuu,N;IN+ALL;SG,5,3
505,tüär,tütäriks,N;TRANS;PL,5,3
506,kuu,kuult,N;AT+ABL;SG,5,3
507,silmä,silmmää,N;IN+ALL;SG,5,3
508,lumi,lumiloiz,N;IN+ESS;PL,5,3
509,lupa,luvat,N;NOM;PL,5,3
510,korppi,korppiloihe,N;IN+ALL;PL,5,3
511,jää,jäiz,N;IN+ESS;PL,5,3
512,näkö,näkölöille,N;AT+ALL;PL,5,3
513,variz,variist,N;PRT;SG,5,3
514,näkö,näkölöin,N;GEN;PL,5,3
515,seppä,sepoiks,N;TRANS;PL,5,3
516,kassen,kastmia,N;PRT;PL,5,3
517,hüvä,hüvät,ADJ;NOM;PL,5,3
518,seppä,sepoille,N;AT+ALL;PL,5,3
519,variz,variksii,N;IN+ALL;PL,5,3
520,jalka,jalaks,N;TRANS;SG,5,3
521,näkö,näkölöihe,N;IN+ALL;PL,5,3
522,kevät,keväist,N;IN+ABL;PL,5,3
523,jalka,jaloiz,N;IN+ESS;PL,5,3
524,meez,meehist,N;IN+ABL;PL,5,3
525,maa,maata,N;PRT;SG,5,3
526,nain,naiziiz,N;IN+ESS;PL,5,3
527,jalka,jalkaa,N;PRT;SG,5,3
528,järvi,järves,N;IN+ESS;SG,5,3
529,lammaz,lampahaan,N;ESS;SG,5,3
530,hammaz,hammaz,N;NOM;SG,5,3
531,jalka,jalat,N;NOM;PL,5,3
532,hüvä,hüvist,ADJ;IN+ABL;PL,5,3
533,izä,izä,N;NOM;SG,5,3
534,silmä,silmii,N;IN+ALL;PL,5,3
535,jalka,jalkoihe,N;IN+ALL;PL,5,3
536,tüär,tüäärt,N;PRT;SG,5,3
537,kevät,keväiil,N;AT+ESS;PL,5,3
538,joki,jokiloin,N;GEN;PL,5,3
539,kassen,kastmiin,N;GEN;PL,5,3
